Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
43.96875,43.96875,43.75,43.9375,24.608627319335938,1003200,1993,1,29
43.96875,44.25,43.96875,44.25,24.783655166625977,480500,1993,2,1
44.21875,44.375,44.125,44.34375,24.83614730834961,201300,1993,2,2
44.40625,44.84375,44.375,44.8125,25.09869956970215,529400,1993,2,3
44.96875,45.09375,44.46875,45.0,25.20370864868164,531500,1993,2,4
44.96875,45.0625,44.71875,44.96875,25.18621253967285,492100,1993,2,5
44.96875,45.125,44.90625,44.96875,25.18621253967285,596100,1993,2,8
44.8125,44.8125,44.5625,44.65625,25.011186599731445,122100,1993,2,9
44.65625,44.75,44.53125,44.71875,25.046192169189453,379600,1993,2,10
44.78125,45.125,44.78125,44.9375,25.1687068939209,19500,1993,2,11
44.875,44.875,44.59375,44.59375,24.97616958618164,42500,1993,2,12
44.46875,44.46875,43.40625,43.46875,24.34607696533203,374800,1993,2,16
43.46875,43.53125,43.28125,43.4375,24.328575134277344,210900,1993,2,17
43.9375,43.9375,42.8125,43.40625,24.311084747314453,378100,1993,2,18
43.40625,43.5625,43.34375,43.5625,24.39858627319336,34900,1993,2,19
43.6875,43.78125,43.5625,43.71875,24.486108779907227,513600,1993,2,22
43.84375,43.875,43.46875,43.6875,24.468591690063477,373700,1993,2,23
43.71875,44.25,43.71875,44.25,24.783655166625977,26300,1993,2,24
44.21875,44.375,44.125,44.34375,24.83614730834961,44500,1993,2,25
44.4375,44.4375,44.1875,44.40625,24.871158599853516,66200,1993,2,26
44.5625,44.5625,44.21875,44.28125,24.801145553588867,66500,1993,3,1
44.3125,44.9375,44.25,44.9375,25.1687068939209,182400,1993,3,2
45.0,45.15625,44.9375,45.125,25.273706436157227,280100,1993,3,3
45.1875,45.1875,44.875,44.875,25.13370132446289,89500,1993,3,4
44.9375,45.125,44.71875,44.75,25.063697814941406,40000,1993,3,5
44.84375,45.75,44.84375,45.75,25.623764038085938,50800,1993,3,8
45.65625,45.6875,45.5,45.59375,25.53627586364746,169300,1993,3,9
45.59375,45.6875,45.40625,45.6875,25.588773727416992,194400,1993,3,10
45.71875,45.84375,45.5,45.5625,25.518760681152344,70900,1993,3,11
45.1875,45.21875,44.8125,45.09375,25.25621795654297,643600,1993,3,12
45.0625,45.3125,45.0625,45.3125,25.37872886657715,310800,1993,3,15
45.3125,45.4375,45.3125,45.3125,25.37872886657715,30800,1993,3,16
45.25,45.25,44.96875,45.03125,25.221220016479492,21800,1993,3,17
45.21875,45.5,45.21875,45.3125,25.37872886657715,59300,1993,3,18
45.28125,45.28125,45.03125,45.03125,25.340333938598633,66900,1993,3,19
44.59375,44.875,44.5625,44.78125,25.19964027404785,183400,1993,3,22
44.90625,44.9375,44.8125,44.875,25.25240135192871,55200,1993,3,23
44.8125,45.0625,44.59375,44.875,25.25240135192871,37200,1993,3,24
44.90625,45.25,44.84375,45.15625,25.410663604736328,110100,1993,3,25
45.125,45.15625,44.875,44.90625,25.26999282836914,101500,1993,3,26
44.9375,45.3125,44.9375,45.09375,25.375499725341797,87100,1993,3,29
45.15625,45.21875,45.09375,45.21875,25.445844650268555,56000,1993,3,30
45.34375,45.46875,45.1875,45.1875,25.42826271057129,111600,1993,3,31
45.25,45.25,44.9375,45.03125,25.340333938598633,129500,1993,4,1
44.65625,44.65625,44.09375,44.09375,24.812768936157227,59400,1993,4,2
44.4375,44.4375,44.1875,44.3125,24.935876846313477,172200,1993,4,5
44.40625,44.40625,44.0625,44.1875,24.86553192138672,129700,1993,4,6
44.25,44.34375,44.15625,44.34375,24.95344352722168,28000,1993,4,7
44.53125,44.53125,44.09375,44.28125,24.918283462524414,180800,1993,4,8
44.71875,44.9375,44.65625,44.90625,25.26999282836914,348500,1993,4,12
44.875,45.15625,44.84375,45.0,25.322742462158203,146100,1993,4,13
45.03125,45.0625,44.90625,44.9375,25.28757667541504,119600,1993,4,14
44.90625,45.03125,44.75,44.9375,25.28757667541504,148600,1993,4,15
44.96875,45.03125,44.875,44.9375,25.28757667541504,47900,1993,4,16
44.9375,45.0625,44.71875,44.75,25.182065963745117,157000,1993,4,19
44.6875,44.75,44.25,44.53125,25.058956146240234,279500,1993,4,20
44.625,44.625,44.375,44.5,25.04137420654297,67900,1993,4,21
44.3125,44.6875,43.9375,43.9375,24.724853515625,97700,1993,4,22
43.84375,43.96875,43.6875,43.75,24.61933135986328,106000,1993,4,23
43.78125,43.9375,43.28125,43.40625,24.4259033203125,62600,1993,4,26
